stop_id,bus_id,name,pickup_time,address,lat,lng
132532,25101,I ST & E ST,Invalid,I ST & E ST,29.52823620531731,-98.27233510091901
135831,25101,13 E ST,Invalid,13 E ST,39.033595,-74.93317100000002
137686,25101,STRICKLAND RD & PINE VALLEY DR,Invalid,STRICKLAND RD & PINE VALLEY DR, 30004,44.552261005303926,-90.62143909424663
139285,25101,STRICKLAND RD & BELLEMEADE PL,Invalid,STRICKLAND RD & BELLEMEADE PL, 30004,34.117253510242364,-84.25441009262096
141006,25101,180 STRICKLAND RD,Invalid,180 STRICKLAND RD, 30004,34.126604,-84.25528400000002
147737,25101,820 MIDDLETON PL,Invalid,820 MIDDLETON PL, 30004,34.130586,-84.24113599999998
150890,25101,850 TOWNSHIP CIR,Invalid,850 TOWNSHIP CIR, 30004,34.13284,-84.24087800000001
151170,25101,TULIP PLANTATION RD & TULIP GARDEN WAY,Invalid,TULIP PLANTATION RD & TULIP GARDEN WAY, 30004,19.09740313910023,-70.30280280858278
164731,25101,760 STRICKLAND RD,Invalid,760 STRICKLAND RD, 30004,34.111134,-84.25478599999997
165316,25101,510 STRICKLAND RD,Invalid,510 STRICKLAND RD, 30004,34.117545,-84.25504699999999
167105,25101,WEATHERSTONE PL & WINDSTONE TRL,Invalid,WEATHERSTONE PL & WINDSTONE TRL, 30004,34.13399059710594,-84.23683722362853
167135,25101,513 WINDSTONE TRL,Invalid,513 WINDSTONE TRL, 30004,34.138199,-84.23707200000001
134198,25102,HUNTINGTON CIR & HUNTINGTON DR,Invalid,HUNTINGTON CIR & HUNTINGTON DR,38.608426912433266,-76.90022405712278
149158,25102,WHITE PINES DR & SPRUCE CT,Invalid,WHITE PINES DR & SPRUCE CT, 30004,41.65002021118698,-72.7342165634036
149159,25102,FERNBANK CT & FERNBANK ST,Invalid,FERNBANK CT & FERNBANK ST, 30004,41.65002021118698,-72.7342165634036
149160,25102,110 HUNTINGTON CIR,Invalid,110 HUNTINGTON CIR, 30004,34.122705,-84.249957
149669,25102,FERNBANK ST & FERNBANK DR,Invalid,FERNBANK ST & FERNBANK DR, 30004,34.124209833183286,-84.25100261886917
149670,25102,345 HUNTINGTON CIR,Invalid,345 HUNTINGTON CIR, 30004,34.120444,-84.249166
150058,25102,JAMES RD & WAKEFIELD TRCE,Invalid,JAMES RD & WAKEFIELD TRCE, 30004,-11.877101839477612,27.53068082034588
150821,25102,385 STRICKLAND RD,Invalid,385 STRICKLAND RD, 30004,34.121468,-84.253919
